#Aegean version 2.0.2-(2018-07-04)
# on dataset: NVSS_J141918.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0001,00)  0.000085  0.000437 14:17:14.16  +39:13:09.88 214.3089933  0.0002133  39.2194120  0.0002083  0.011911  0.000422  0.012561  0.000445 46.46  0.02 45.96  0.02  -88.9   2.2   0000000
(0002,00) -0.000020  0.000463 14:17:04.52  +39:19:13.61 214.2688214  0.0002259  39.3204477  0.0002015  0.012658  0.000442  0.014183  0.000574 49.54  0.64 45.80  0.73  -89.7   0.3   0000000
(0003,00)  0.000074  0.000533 14:21:43.36  +39:22:05.32 215.4306703  0.0007228  39.3681434  0.0005820  0.005301  0.000498  0.007505  0.000864 58.71  2.01 48.83  2.78   84.5   0.5   0000000
(0004,00)  0.000016  0.000492 14:17:56.72  +39:24:41.21 214.4863436  0.0003741  39.4114465  0.0003887  0.008033  0.000455  0.011107  0.000629 54.07  0.07 51.78  0.07   -3.4   0.9   0000000
(0005,00) -0.000028  0.000506 14:19:08.25  +39:25:29.74 214.7843887  0.0003686  39.4249289  0.0003543  0.008279  0.000483  0.009542  0.000557 49.14  0.10 47.50  0.09   85.4   1.2   0000000
(0006,00) -0.000005  0.000525 14:20:09.31  +39:27:39.49 215.0388075  0.0000824  39.4609683  0.0000815  0.036931  0.000503  0.039753  0.000543 46.96  0.03 46.42  0.03  -83.1   0.8   0000000
(0007,00)  0.000074  0.000533 14:21:48.10  +39:29:08.78 215.4503972  0.0004996  39.4857719  0.0004813  0.006417  0.000516  0.007067  0.000668 48.01  1.57 46.45  1.74   85.1   1.8   0000000
(0008,00) -0.000028  0.000506 14:19:51.19  +39:32:22.93 214.9632801  0.0002894  39.5397020  0.0001474  0.021444  0.000642  0.023788  0.000712 47.95  0.02 46.85  0.01   88.5   0.8   0000000
(0008,01) -0.000028  0.000506 14:19:46.66  +39:32:22.22 214.9444375  0.0002894  39.5395067  0.0001474  0.021328  0.000642  0.025668  0.000773 51.94  0.04 46.92  0.02  -87.3   0.9   0000000
(0009,00) -0.000020  0.000463 14:17:02.27  +39:32:45.77 214.2594451  0.0002993  39.5460465  0.0003225  0.010110  0.000511  0.011443  0.000670 49.57  1.05 46.24  0.96   -6.0   0.5   0000000
(0010,00)  0.000133  0.000525 14:21:23.55  +39:33:31.75 215.3481126  0.0000081  39.5588207  0.0000081  0.378906  0.000511  0.407507  0.000634 47.04  0.03 46.30  0.03  -89.3   0.1   0000000
(0011,00) -0.000051  0.000535 14:17:11.57  +39:34:02.38 214.2982006  0.0006647  39.5673273  0.0007977  0.004468  0.000532  0.004728  0.000691 49.34  3.20 43.43  2.36   11.3   0.6   0000000
(0012,00) -0.000035  0.000483 14:20:06.32  +39:35:04.57 215.0263496  0.0003244  39.5846040  0.0002923  0.009624  0.000454  0.012342  0.000686 52.86  0.95 49.13  1.14  -88.1   0.5   0000000
(0013,00) -0.000035  0.000483 14:20:03.07  +39:38:51.39 215.0127937  0.0004948  39.6476096  0.0005545  0.005977  0.000439  0.009345  0.000813 58.72  2.00 53.92  1.73   -8.2   0.6   0000000
(0014,00) -0.000051  0.000535 14:16:51.67  +39:38:57.15 214.2152925  0.0001873  39.6492070  0.0002209  0.017523  0.000446  0.035025  0.001025 70.61  0.75 57.32  0.56  -22.9   0.1   0000000
(0015,00)  0.000036  0.000486 14:18:28.66  +39:39:31.47 214.6194210  0.0011357  39.6587404  0.0011704  0.002890  0.000442  0.002919  0.000447 45.45 -1.00 45.00 -1.00   -0.0  -1.0   0000100
(0016,00) -0.000008  0.000538 14:19:18.85  +39:40:36.73 214.8285451  0.0002066  39.6768703  0.0001928  0.016108  0.000506  0.019617  0.000616 51.03  0.02 48.32  0.02  -88.1   0.4   0000000
(0017,00)  0.000133  0.000525 14:21:20.71  +39:41:10.15 215.3362881  0.0002202  39.6861538  0.0002262  0.013929  0.000497  0.016366  0.000676 49.09  0.72 48.46  0.71   -2.2   1.9   0000000
(0018,00)  0.000036  0.000486 14:18:01.97  +39:41:51.47 214.5082176  0.0002322  39.6976303  0.0002136  0.012697  0.000464  0.014078  0.000596 48.79  0.68 46.02  0.75   89.3   0.5   0000000
(0019,00) -0.000035  0.000483 14:20:36.47  +39:42:07.60 215.1519505  0.0005385  39.7021115  0.0005108  0.005745  0.000460  0.007320  0.000705 51.96  1.82 49.66  1.99   88.1   1.3   0000000
(0020,00)  0.000133  0.000525 14:21:26.17  +39:43:30.49 215.3590578  0.0000791  39.7251349  0.0000634  0.047626  0.000452  0.082522  0.000920 66.04  0.20 53.13  0.27  -78.3   0.0   0000000
