#Aegean version 2.0.2-(2018-07-04)
# on dataset: ab6860_J141918.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0057,00) -0.000051  0.005384 14:22:06.85  +39:32:32.07 215.5285438  0.0026738  39.5422407  0.0011769  0.030362  0.004073  0.113848  0.036373 131.32  4.46 56.25 16.20  -78.2   0.3   0000000
(0058,00)  0.000097  0.001264 14:21:23.22  +39:33:34.45 215.3467317  0.0000255  39.5595695  0.0000267  0.278143  0.001203  0.311561  0.001551 48.21  0.08 45.77  0.08    9.3   0.1   0000000
(0059,00)  0.000042  0.000719 14:20:06.73  +39:35:09.16 215.0280535  0.0008652  39.5858787  0.0007597  0.005417  0.000699  0.006361  0.001001 49.47  2.45 46.76  3.51  -73.4   1.8   0000000
(0060,00) -0.000085  0.005743 14:17:26.90  +39:38:23.47 214.3620881  0.0014278  39.6398519  0.0012670  0.028562  0.005446  0.028562  0.005446 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0081,00)  0.000272  0.003630 14:17:30.31  +39:46:17.14 214.3762802  0.0010544  39.7714287  0.0017828  0.021726  0.003269  0.042781  0.008695 81.92  8.79 47.35  4.00   11.2   0.2   0000000
(0082,00)  0.000055  0.003702 14:22:25.30  +39:47:28.24 215.6054232  0.0008937  39.7911778  0.0009245  0.024394  0.003639  0.026391  0.004814 47.27  3.42 45.08  3.43    8.0   2.2   0000000
(0083,00)  0.000272  0.003630 14:17:53.88  +39:47:38.23 214.4744827  0.0003088  39.7939531  0.0003265  0.065209  0.003484  0.070422  0.004331 48.00  1.02 44.32  0.96   11.4   0.4   0000000
(0088,00)  0.000010  0.000636 14:21:45.41  +39:50:10.85 215.4392106  0.0010052  39.8363472  0.0012022  0.003844  0.000625  0.004584  0.000953 53.71  5.13 43.74  3.83   12.7   0.6   0000000
(0089,00)  0.000272  0.003630 14:17:27.28  +39:50:10.56 214.3636610  0.0010852  39.8362673  0.0008785  0.028067  0.003448  0.038974  0.006084 57.51  2.57 47.56  4.06  -77.0   0.6   0000000
(0089,01)  0.000272  0.003630 14:17:23.92  +39:51:13.76 214.3496602  0.0010853  39.8538229  0.0008783  0.030994  0.003448  0.056444  0.007853 63.20  2.61 56.76  4.12    8.4   0.5   0000000
(0090,00)  0.000055  0.003702 14:22:39.23  +39:51:12.80 215.6634599  0.0008492  39.8535563  0.0003582  0.064120  0.003630  0.077507  0.006643 53.50  0.99 44.51  2.74  -77.8   0.3   0000000
(0092,00)  0.000272  0.003630 14:17:29.58  +39:52:59.81 214.3732410  0.0011749  39.8832793  0.0013036  0.024629  0.003164  0.055248  0.009492 68.04  5.72 64.94  5.01  -85.0   3.0   0000000
(0093,00)  0.000272  0.003630 14:17:40.09  +39:52:57.85 214.4170252  0.0011178  39.8827366  0.0012630  0.020202  0.003320  0.020202  0.003320 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0094,00)  0.000055  0.003702 14:22:38.43  +39:53:24.73 215.6601369  0.0012905  39.8902035  0.0012787  0.020568  0.003544  0.020568  0.003544 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0095,00)  0.000055  0.003702 14:22:31.99  +39:53:31.11 215.6332908  0.0007723  39.8919744  0.0007294  0.032981  0.003417  0.049453  0.006356 57.34  2.98 51.51  2.85  -85.9   0.8   0000000
(0098,00)  0.000005  0.000668 14:20:38.73  +39:55:02.18 215.1613726  0.0003264  39.9172728  0.0003469  0.021694  0.001184  0.025434  0.001600 49.75  1.09 46.42  1.04   11.0   0.5   0000000
(0099,00)  0.000053  0.005418 14:22:31.51  +39:55:23.72 215.6312773  0.0013284  39.9232546  0.0017961  0.027809  0.005369  0.039221  0.010889 62.07 10.13 44.76  5.14   12.0   0.5   0000000
(0061,00)  0.000015  0.000351 14:20:03.09  +39:38:40.52 215.0128916  0.0010372  39.6445884  0.0014512  0.002273  0.000392  0.002273  0.000392 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0065,00)  0.000272  0.003630 14:17:30.75  +39:39:54.79 214.3781206  0.0011563  39.6652186  0.0011031  0.020191  0.003282  0.020191  0.003282 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0067,00)  0.000055  0.003702 14:22:29.05  +39:40:09.89 215.6210285  0.0012346  39.6694140  0.0010348  0.020870  0.003690  0.021377  0.004881 46.30  3.71 43.58  5.24  -79.9   2.6   0000000
(0068,00)  0.000010  0.000661 14:19:18.97  +39:40:35.67 214.8290211  0.0002077  39.6765741  0.0002266  0.017281  0.000635  0.018388  0.000775 48.14  0.70 43.54  0.63   12.9   0.2   0000000
(0069,00)  0.000272  0.003630 14:17:25.97  +39:40:41.07 214.3581925  0.0011270  39.6780752  0.0008421  0.024692  0.003515  0.030535  0.005601 51.97  2.80 46.87  4.80  -74.1   1.3   0000000
(0070,00)  0.000055  0.003702 14:22:38.11  +39:41:22.15 215.6587959  0.0006146  39.6894853  0.0014716  0.029110  0.002991  0.066899  0.008749 104.07  6.41 43.50  2.28    7.6   0.0   0000000
(0071,00)  0.000010  0.000636 14:21:20.16  +39:41:08.47 215.3340000  0.0004672  39.6856870  0.0004243  0.008247  0.000606  0.009306  0.000789 48.79  1.25 45.56  1.52  -71.9   0.8   0000000
(0072,00)  0.000015  0.000351 14:20:36.56  +39:42:10.30 215.1523287  0.0010760  39.7028598  0.0014511  0.001913  0.000350  0.002068  0.000490 50.80  5.96 41.92  3.97   14.7   0.7   0000000
(0073,00)  0.000010  0.000636 14:21:25.58  +39:43:29.62 215.3565740  0.0001103  39.7248936  0.0000993  0.036899  0.000576  0.052065  0.000942 54.93  0.31 50.60  0.36  -79.2   0.1   0000000
(0074,00)  0.000015  0.000351 14:19:58.64  +39:43:29.60 214.9943275  0.0007674  39.7248885  0.0008420  0.002599  0.000343  0.002836  0.000448 49.14  2.87 43.76  2.81    9.2   0.8   0000000
(0075,00)  0.000010  0.000636 14:20:55.76  +39:43:36.94 215.2323244  0.0011872  39.7269276  0.0013222  0.003304  0.000561  0.003304  0.000561 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0077,00)  0.000055  0.003702 14:22:33.29  +39:45:33.70 215.6387241  0.0009047  39.7593612  0.0017030  0.022871  0.003317  0.044854  0.008645 81.68  8.31 47.29  3.59    7.4   0.1   0000000
(0078,00)  0.000272  0.003630 14:17:24.96  +39:45:37.79 214.3540164  0.0010398  39.7604983  0.0009503  0.023925  0.003398  0.023925  0.003398 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0079,00)  0.000010  0.000661 14:18:58.98  +39:46:38.32 214.7457420  0.0000186  39.7773114  0.0000223  0.192400  0.000617  0.239732  0.000886 54.26  0.07 45.23  0.06   10.5   0.0   0000000
(0080,00)  0.000015  0.000351 14:19:55.89  +39:46:15.25 214.9828695  0.0012420  39.7709019  0.0008346  0.002380  0.000329  0.003637  0.000683 63.03  3.00 47.77  5.63  -77.9   0.5   0000000
(0021,00)  0.000058  0.001224 14:18:24.12  +39:23:54.74 214.6004806  0.0006119  39.3985375  0.0005940  0.008837  0.001226  0.005256  0.000818 34.65  1.52 33.81  1.87   15.0   3.5   0000000
(0027,00)  0.000097  0.001264 14:21:46.70  +39:25:42.64 215.4445884  0.0002808  39.4285107  0.0002073  0.032764  0.001178  0.043175  0.001899 56.23  0.62 46.17  1.05  -76.8   0.2   0000000
(0027,01)  0.000097  0.001264 14:21:42.23  +39:25:01.32 215.4259772  0.0002809  39.4170326  0.0002072  0.013187  0.001178  0.008400  0.000793 37.07  0.54 33.85  0.91  -57.5   0.1   0000000
(0028,00)  0.000058  0.001224 14:18:39.22  +39:24:57.98 214.6634006  0.0006526  39.4161060  0.0007509  0.009787  0.001200  0.009353  0.001334 47.09  2.41 39.97  2.07   16.1   0.5   0000000
(0031,00)  0.000058  0.001224 14:18:29.63  +39:25:22.00 214.6234436  0.0010185  39.4227778  0.0009338  0.008659  0.001333  0.009053  0.001681 50.06  3.35 41.14  3.26    8.3   0.4   0000000
(0031,01)  0.000058  0.001224 14:18:34.31  +39:26:16.29 214.6429749  0.0010183  39.4378577  0.0009341  0.007563  0.001333  0.025711  0.004898 144.56  3.27 46.33  3.18   15.1   0.2   0000000
(0036,00)  0.000097  0.001264 14:21:15.24  +39:27:04.54 215.3135063  0.0010370  39.4512610  0.0015350  0.008578  0.001193  0.012983  0.002385 61.50  5.79 48.48  3.60   -0.0   0.5   0000000
(0036,01)  0.000097  0.001264 14:21:18.65  +39:27:42.21 215.3277255  0.0010367  39.4617240  0.0015352  0.007843  0.001193  0.007739  0.001651 45.85  5.69 42.39  3.54  -79.1   0.7   0000000
(0038,00)  0.000042  0.000719 14:20:09.44  +39:27:42.54 215.0393207  0.0002117  39.4618164  0.0002197  0.018941  0.000689  0.020345  0.000853 47.17  0.68 44.85  0.67    7.1   0.5   0000000
(0039,00)  0.000058  0.001224 14:18:19.07  +39:27:28.55 214.5794408  0.0006700  39.4579299  0.0008707  0.010121  0.001130  0.014496  0.001933 59.75  3.19 47.22  2.33   -1.4   0.3   0000000
